#Points,Dimension,sorttime,ExecVar2Nano,Kmax,Kavg
2500,2,8420557,7828083,    1.300000,    0.004640
2500,3,960580,2107775,    5.050000,    0.250900
2500,4,755759,2084799,   13.550000,    2.015320
2500,5,667714,4188148,   33.000000,    8.610600
2500,6,692674,10148967,   58.100000,   21.121620
2500,7,997495,22699873,  102.500000,   49.221840
2500,8,1271267,29570010,  171.300000,   83.741280
2500,9,632703,50185929,  241.450000,  138.857680
2500,10,965575,83889125,  323.150000,  193.772360
2500,11,1322416,115880308,  445.850000,  262.191580
2500,12,546680,132380082,  529.100000,  330.470800
2500,13,735012,189277495,  715.350000,  428.634980
2500,14,1155096,226837705,  833.300000,  490.948040
2500,15,646712,274346161, 1020.300000,  572.432340
2500,16,788865,323247282, 1224.850000,  671.452380
2500,17,656122,362416631, 1375.200000,  750.956540
2500,18,573983,410017152, 1445.800000,  823.316860
2500,19,638328,446281325, 1488.550000,  851.538100
2500,20,653591,516638879, 1610.100000,  939.489180
2500,21,664664,578262044, 1753.600000, 1015.235880
2500,22,617099,542304377, 1846.500000, 1071.813620
2500,23,921708,688893872, 1908.000000, 1099.180140
2500,24,523675,728833649, 2024.850000, 1150.538200
2500,25,663145,911430892, 2036.100000, 1156.356460
2500,26,791855,1071132312, 2212.100000, 1210.628300
2500,27,591131,954862335, 2250.750000, 1217.704380
2500,28,839123,871284160, 2326.950000, 1233.808800
2500,29,543397,983812212, 2411.200000, 1241.614080
