#Points;sortTimeNano;ExecSimpleNano;ExecVar1Nano;Kmax;Kavg
250;1588427;4107465;940097;   16,433333;    5,768133
275;224046;2759679;287543;   16,400000;    6,244606
302;87202;513128;277020;   16,533333;    6,448234
332;151953;679411;56078;   18,833333;    6,924699
365;195435;1346341;57416;   18,100000;    7,038356
401;196026;1469564;76089;   18,533333;    6,730590
441;95697;1094370;54440;   21,166667;    7,773923
485;116565;1632828;54396;   21,766667;    7,891753
533;192114;1659383;88467;   20,933333;    7,224578
586;133227;1836854;83536;   24,366667;    8,264619
644;114203;2185442;81390;   24,000000;    7,925104
708;155750;3089611;122385;   27,800000;    8,634557
778;139627;3653604;122846;   26,133333;    9,288775
855;452041;5011432;118551;   29,200000;    9,086589
940;404631;5977573;172333;   32,533333;   10,050922
1034;209919;6740150;204538;   30,433333;   10,148872
1137;270223;9001759;179248;   31,400000;   10,569979
1250;229289;9833374;206218;   33,933333;   10,447067
1375;262832;13256146;272046;   35,300000;   11,674400
1512;307365;20175117;384396;   36,400000;   11,488492
1663;342364;39609956;763946;   37,066667;   11,839988
1829;600070;59810794;338256;   38,166667;   11,433279
2011;776962;30911292;377649;   42,333333;   12,688762
2212;494822;45014393;450566;   45,500000;   13,019952
2433;561895;48477706;434499;   42,933333;   13,257953
2676;701110;55666342;499388;   45,833333;   14,134666
2943;645751;70530014;583765;   51,233333;   14,422505
3237;1123377;86943170;679213;   54,633333;   16,415137
3560;864024;108818938;740871;   56,000000;   15,010637
3916;1061345;131952244;858157;   61,600000;   17,343309
4307;1627019;163776248;965557;   60,400000;   17,051002
4737;1299500;199729476;1079015;   60,133333;   18,526867
